Category,Requirement,Body,Reference
ID - Identify,ID.RA Risk Assessment,"Risk responses are chosen, prioritized, planned, tracked, and communicated.",NIST CSF ID.RA-06
ID - Identify,ID.RA Risk Assessment,"Changes and exceptions are managed, assessed for risk impact, recorded, and tracked.",NIST CSF ID.RA-07
ID - Identify,ID.RA Risk Assessment,"Processes for receiving, analyzing, and responding to vulnerability disclosures are established.",NIST CSF ID.RA-08
ID - Identify,ID.RA Risk Assessment,The authenticity and integrity of hardware and software are assessed prior to acquisition and use.,NIST CSF ID.RA-09
ID - Identify,ID.RA Risk Assessment,Critical suppliers are assessed prior to acquisition.,NIST CSF ID.RA-10
ID - Identify,ID.IM Improvement,Improvements are identified from evaluations.,NIST CSF ID.IM-01
ID - Identify,ID.IM Improvement,"Improvements are identified from security tests and exercises, including those done in coordination with suppliers and relevant third parties.",NIST CSF ID.IM-02
ID - Identify,ID.IM Improvement,"Improvements are identified from execution of operational processes, procedures, and activities.",NIST CSF ID.IM-03
ID - Identify,ID.IM Improvement,"Incident response plans and other cybersecurity plans that affect operations are established, communicated, maintained, and improved.",NIST CSF ID.IM-04
PR - Protect,"PR.AA Identity Management, Authentication, and Access Control","Identities and credentials for authorized users, services, and hardware are managed by the organization.",NIST CSF PR.AA-01
PR - Protect,"PR.AA Identity Management, Authentication, and Access Control",Identities are proofed and bound to credentials based on the context of interactions.,NIST CSF PR.AA-02
PR - Protect,"PR.AA Identity Management, Authentication, and Access Control","Users, services, and hardware are authenticated.",NIST CSF PR.AA-03
PR - Protect,"PR.AA Identity Management, Authentication, and Access Control","Identity assertions are protected, conveyed, and verified.",NIST CSF PR.AA-04
PR - Protect,"PR.AA Identity Management, Authentication, and Access Control","Access permissions, entitlements, and authorizations are defined in policy, managed, enforced, and reviewed, and incorporate the principles of least privilege and separation of duties.",NIST CSF PR.AA-05
PR - Protect,"PR.AA Identity Management, Authentication, and Access Control","Physical access to assets is managed, monitored, and enforced commensurate with risk.",NIST CSF PR.AA-06
PR - Protect,PR.AT Awareness and Training,Personnel are provided with awareness and training so they possess the knowledge and skills to perform general tasks with cybersecurity risks in mind.,NIST CSF PR.AT-01
PR - Protect,PR.AT Awareness and Training,Individuals in specialized roles are provided with awareness and training so they possess the knowledge and skills to perform relevant tasks with cybersecurity risks in mind.,NIST CSF PR.AT-02
PR - Protect,PR.DS Data Security,"The confidentiality, integrity, and availability of data-at-rest are protected.",NIST CSF PR.DS-01
PR - Protect,PR.DS Data Security,"The confidentiality, integrity, and availability of data-in-transit are protected.",NIST CSF PR.DS-02
PR - Protect,PR.DS Data Security,"The confidentiality, integrity, and availability of data-in-use are protected.",NIST CSF PR.DS-10
PR - Protect,PR.DS Data Security,"Backups of data are created, protected, maintained, and tested.",NIST CSF PR.DS-11
PR - Protect,PR.PS Platform Security,Configuration management practices are established and applied.,NIST CSF PR.PS-01
PR - Protect,PR.PS Platform Security,"Software is maintained, replaced, and removed commensurate with risk.",NIST CSF PR.PS-02
PR - Protect,PR.PS Platform Security,"Hardware is maintained, replaced, and removed commensurate with risk.",NIST CSF PR.PS-03
PR - Protect,PR.PS Platform Security,Log records are generated and made available for continuous monitoring.,NIST CSF PR.PS-04
PR - Protect,PR.PS Platform Security,Installation and execution of unauthorized software are prevented.,NIST CSF PR.PS-05
PR - Protect,PR.PS Platform Security,"Secure software development practices are integrated, and their performance is monitored throughout the software development life cycle.",NIST CSF PR.PS-06
PR - Protect,PR.IR Technology Infrastructure Resilience,Networks and environments are protected from unauthorized logical access and usage.,NIST CSF PR.IR-01
PR - Protect,PR.IR Technology Infrastructure Resilience,The organization's technology assets are protected from environmental threats.,NIST CSF PR.IR-02
PR - Protect,PR.IR Technology Infrastructure Resilience,Mechanisms are implemented to achieve resilience requirements in normal and adverse situations.,NIST CSF PR.IR-03
PR - Protect,PR.IR Technology Infrastructure Resilience,Adequate resource capacity to ensure availability is maintained.,NIST CSF PR.IR-04
DE - Detect,DE.CM Continuous Monitoring,Networks and network services are monitored to find potentially adverse events.,NIST CSF DE.CM-01
DE - Detect,DE.CM Continuous Monitoring,The physical environment is monitored to find potentially adverse events.,NIST CSF DE.CM-02
DE - Detect,DE.CM Continuous Monitoring,Personnel activity and technology usage are monitored to find potentially adverse events.,NIST CSF DE.CM-03
DE - Detect,DE.CM Continuous Monitoring,External service provider activities and services are monitored to find potentially adverse events.,NIST CSF DE.CM-06
DE - Detect,DE.CM Continuous Monitoring,"Computing hardware and software, runtime environments, and their data are monitored to find potentially adverse events.",NIST CSF DE.CM-09
DE - Detect,DE.AE Adverse Event Analysis,Potentially adverse events are analyzed to better understand associated activities.,NIST CSF DE.AE-02
DE - Detect,DE.AE Adverse Event Analysis,Information is correlated from multiple sources.,NIST CSF DE.AE-03
DE - Detect,DE.AE Adverse Event Analysis,The estimated impact and scope of adverse events are understood.,NIST CSF DE.AE-04
DE - Detect,DE.AE Adverse Event Analysis,Information on adverse events is provided to authorized staff and tools.,NIST CSF DE.AE-06
DE - Detect,DE.AE Adverse Event Analysis,Cyber threat intelligence and other contextual information are integrated into the analysis.,NIST CSF DE.AE-07
DE - Detect,DE.AE Adverse Event Analysis,Incidents are declared when adverse events meet the defined incident criteria.,NIST CSF DE.AE-08
RS - Respond,RS.MA Incident Management,The incident response plan is executed in coordination with relevant third parties once an incident is declared.,NIST CSF RS.MA-01
RS - Respond,RS.MA Incident Management,Incident reports are triaged and validated.,NIST CSF RS.MA-02
RS - Respond,RS.MA Incident Management,Incidents are categorized and prioritized.,NIST CSF RS.MA-03
RS - Respond,RS.MA Incident Management,Incidents are escalated or elevated as needed.,NIST CSF RS.MA-04
RS - Respond,RS.MA Incident Management,The criteria for initiating incident recovery are applied.,NIST CSF RS.MA-05
RS - Respond,RS.AN Incident Analysis,Analysis is performed to establish what has taken place during an incident and the root cause of the incident.,NIST CSF RS.AN-03
RS - Respond,RS.AN Incident Analysis,"Actions performed during an investigation are recorded, and the records' integrity and provenance are preserved.",NIST CSF RS.AN-06
RS - Respond,RS.AN Incident Analysis,"Incident data and metadata are collected, and their integrity and provenance are preserved.",NIST CSF RS.AN-07
RS - Respond,RS.AN Incident Analysis,An incident's magnitude is estimated and validated.,NIST CSF RS.AN-08
RS - Respond,RS.CO Incident Response Reporting and Communication,Internal and external stakeholders are notified of incidents.,NIST CSF RS.CO-02
RS - Respond,RS.CO Incident Response Reporting and Communication,Information is shared with designated internal and external stakeholders.,NIST CSF RS.CO-03
RS - Respond,RS.MI Incident Mitigation,Incidents are contained.,NIST CSF RS.MI-01
RS - Respond,RS.MI Incident Mitigation,Incidents are eradicated.,NIST CSF RS.MI-02
RC - Recover,RC.RP Incident Recovery Plan Execution,The recovery portion of the incident response plan is executed once initiated from the incident response process.,NIST CSF RC.RP-01
RC - Recover,RC.RP Incident Recovery Plan Execution,"Recovery actions are selected, scoped, prioritized, and performed.",NIST CSF RC.RP-02
RC - Recover,RC.RP Incident Recovery Plan Execution,The integrity of backups and other restoration assets is verified before using them for restoration.,NIST CSF RC.RP-03
RC - Recover,RC.RP Incident Recovery Plan Execution,Critical mission functions and cybersecurity risk management are considered to establish post-incident operational norms.,NIST CSF RC.RP-04
RC - Recover,RC.RP Incident Recovery Plan Execution,"The integrity of restored assets is verified, systems and services are restored, and normal operating status is confirmed.",NIST CSF RC.RP-05
RC - Recover,RC.RP Incident Recovery Plan Execution,"The end of incident recovery is declared based on criteria, and incident-related documentation is completed.",NIST CSF RC.RP-06
RC - Recover,RC.CO Incident Recovery Communication,Recovery activities and progress in restoring operational capabilities are communicated to designated internal and external stakeholders.,NIST CSF RC.CO-03
RC - Recover,RC.CO Incident Recovery Communication,Public updates on incident recovery are shared using approved methods and messaging.,NIST CSF RC.CO-04
